Base,ClimateID, WeatherID,jday,date,Hour,Srad,temperature,rain,wind,RH,CO2
BARC,BARC,FSP,124,05/04/2005,3,0,7.82,0,0.066,91.2,379
BARC,BARC,FSP,124,05/04/2005,4,0,8.46,0,0.25,81.4,379
BARC,BARC,FSP,124,05/04/2005,5,0.0009,8.23,0,0,81.6,379
BARC,BARC,FSP,124,05/04/2005,6,0.0837,8.23,0,0,86.6,379
BARC,BARC,FSP,124,05/04/2005,7,0.3114,8.69,0,0.087,90.6,379
BARC,BARC,FSP,124,05/04/2005,8,0.7065,10.25,0,0.22,75.1,379
BARC,BARC,FSP,124,05/04/2005,9,1.2609,11.9,0,0.32,62,379
BARC,BARC,FSP,124,05/04/2005,10,2.4444,13.4,0,0.73,55.4,379
BARC,BARC,FSP,124,05/04/2005,11,2.5686,14.3,0,1.08,52.7,379
BARC,BARC,FSP,124,05/04/2005,12,1.6677,14.3,0,2.34,51.8,379
BARC,BARC,FSP,124,05/04/2005,13,1.575,14,0,2.71,53.6,379
BARC,BARC,FSP,124,05/04/2005,14,1.8531,14.6,0,1.77,53.2,379
BARC,BARC,FSP,124,05/04/2005,15,2.7099,15.8,0,1.54,48.5,379
BARC,BARC,FSP,124,05/04/2005,16,1.8711,16.5,0,1.1,42,379
BARC,BARC,FSP,124,05/04/2005,17,1.179,16.3,0,2.02,39.4,379
BARC,BARC,FSP,124,05/04/2005,18,0.7272,14.7,0,2.56,62.9,379
BARC,BARC,FSP,124,05/04/2005,19,0.1593,12.5,0,1.91,73.625,379
BARC,BARC,FSP,124,05/04/2005,20,0.0018,10.4,0,0.43,83.3,379
BARC,BARC,FSP,124,05/04/2005,21,0,8.23,0,0.12,92.9,379
BARC,BARC,FSP,124,05/04/2005,22,0,6.65,0,0.041,99.3,379
BARC,BARC,FSP,124,05/04/2005,23,0,5.84,0,0,102,379
BARC,BARC,FSP,125,05/05/2005,0,0,5.04,0,0,103,379
BARC,BARC,FSP,125,05/05/2005,1,0,4.41,0,0,104,379
BARC,BARC,FSP,125,05/05/2005,2,0,3.59,0,0,105,379
BARC,BARC,FSP,125,05/05/2005,3,0,3.19,0,0.0077,105,379
BARC,BARC,FSP,125,05/05/2005,4,0,2.71,0,0.0075,105,379
BARC,BARC,FSP,125,05/05/2005,5,0.0045,2.32,0,0,105,379
BARC,BARC,FSP,125,05/05/2005,6,0.1953,2.56,0,0,105,379
BARC,BARC,FSP,125,05/05/2005,7,0.6615,5.48,0,0.029,105,379
BARC,BARC,FSP,125,05/05/2005,8,1.3788,10.3,0,1.38,100,379
BARC,BARC,FSP,125,05/05/2005,9,2.043,13.1,0,2.16,86.7,379
BARC,BARC,FSP,125,05/05/2005,10,2.5614,14.9,0,2.69,69.2,379
BARC,BARC,FSP,125,05/05/2005,11,2.8917,15.9,0,2.73,58,379
BARC,BARC,FSP,125,05/05/2005,12,3.0492,16.1,0,3.39,56.8,379
BARC,BARC,FSP,125,05/05/2005,13,2.4786,16.3,0,2.78,54.2,379
BARC,BARC,FSP,125,05/05/2005,14,2.8296,16.8,0,2.4,50.6,379
BARC,BARC,FSP,125,05/05/2005,15,2.1015,16.6,0,2.65,52.7,379
BARC,BARC,FSP,125,05/05/2005,16,1.2546,16,0,2.81,54.7,379
BARC,BARC,FSP,125,05/05/2005,17,0.8469,15.6,0,2.38,56.1,379
BARC,BARC,FSP,125,05/05/2005,18,0.4203,15.1,0,2.26,57.6,379
BARC,BARC,FSP,125,05/05/2005,19,0.0864,13.8,0,0.64,65,379
BARC,BARC,FSP,125,05/05/2005,20,0.0018,11.3,0,0.46,82.6,379
BARC,BARC,FSP,125,05/05/2005,21,0,9.69,0,0.94,90.3,379
BARC,BARC,FSP,125,05/05/2005,22,0,10.9,0,1.22,79.2,379
BARC,BARC,FSP,125,05/05/2005,23,0,9.77,0,0.29,82.4,379
BARC,BARC,FSP,126,05/06/2005,0,0,8.74,0,0.069,89.3,379
BARC,BARC,FSP,126,05/06/2005,1,0,7.7,0,0,94.9,379
BARC,BARC,FSP,126,05/06/2005,2,0,7.89,0,0.03,93.5,379
BARC,BARC,FSP,126,05/06/2005,3,0,7.99,0,0.16,94.7,379
BARC,BARC,FSP,126,05/06/2005,4,0,8.44,0,0.97,94.1,379
BARC,BARC,FSP,126,05/06/2005,5,0,8.64,0,1.26,95.1,379
BARC,BARC,FSP,126,05/06/2005,6,0.0594,8.92,0,1.82,95.6,379
BARC,BARC,FSP,126,05/06/2005,7,0.2016,9.38,0,2.45,95.6,379
BARC,BARC,FSP,126,05/06/2005,8,0.3438,9.81,0,2.61,92.3,379
BARC,BARC,FSP,126,05/06/2005,9,0.4482,10.3,0,2.21,90.4,379
BARC,BARC,FSP,126,05/06/2005,10,0.684,10.8,0,2.5,85.5,379
BARC,BARC,FSP,126,05/06/2005,11,0.8388,11.25,0,2.6,77.2,379
BARC,BARC,FSP,126,05/06/2005,12,1.0008,11.5625,0,3.54,65,379
BARC,BARC,FSP,126,05/06/2005,13,1.3644,12.2,0,3.69,56,379
BARC,BARC,FSP,126,05/06/2005,14,1.5039,12.7,0,3.47,53,379
BARC,BARC,FSP,126,05/06/2005,15,1.5381,13.1,0,3.39,51.6,379
BARC,BARC,FSP,126,05/06/2005,16,0.9324,12.7,0,3.31,54.1,379
BARC,BARC,FSP,126,05/06/2005,17,0.504,12.2,0,3.16,55.2,379
BARC,BARC,FSP,126,05/06/2005,18,0.2556,12,0,3.16,57.3,379
BARC,BARC,FSP,126,05/06/2005,19,0.0711,11.5,0,2.12,62.5,379
BARC,BARC,FSP,126,05/06/2005,20,0.0018,10.6,0,1.88,68.1,379
BARC,BARC,FSP,126,05/06/2005,21,0,9.18,0,1.3,76.4,379
